id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
248439,Female,25,1,36.0,0,< 1 Year,Yes,25517.0,152.0,100,0
311530,Male,55,1,3.0,0,1-2 Year,Yes,19708.0,124.0,271,0
328603,Male,39,1,47.0,0,1-2 Year,Yes,37468.0,124.0,268,0
173788,Male,20,1,47.0,0,< 1 Year,Yes,35991.0,160.0,157,0
213222,Male,22,1,35.0,1,< 1 Year,No,18553.0,152.0,108,0
261228,Male,48,1,37.0,0,1-2 Year,Yes,2630.0,160.0,253,0
233312,Female,38,1,8.0,0,1-2 Year,Yes,25509.0,26.0,16,1
164402,Male,25,1,11.0,1,< 1 Year,No,24576.0,152.0,40,0
272580,Female,32,1,41.0,1,< 1 Year,No,28294.0,152.0,280,0
195605,Male,39,1,1.0,0,1-2 Year,Yes,2630.0,156.0,106,0
280095,Male,23,1,18.0,0,1-2 Year,Yes,31833.0,124.0,193,0
126614,Female,24,1,41.0,1,< 1 Year,No,58672.0,152.0,238,0
125455,Male,26,1,10.0,1,< 1 Year,No,30506.0,152.0,228,0
182437,Male,53,1,28.0,0,> 2 Years,Yes,55036.0,26.0,55,0
344181,Male,49,1,41.0,0,< 1 Year,No,2630.0,1.0,175,0
336470,Male,38,1,47.0,0,1-2 Year,Yes,36125.0,124.0,106,0
119802,Male,27,1,41.0,1,< 1 Year,No,27575.0,152.0,285,0
152880,Female,21,1,30.0,1,< 1 Year,No,29788.0,152.0,291,0
69833,Male,42,1,37.0,0,1-2 Year,Yes,30547.0,152.0,229,0
133337,Female,23,1,18.0,1,< 1 Year,No,37892.0,152.0,154,0
290173,Male,20,1,23.0,1,< 1 Year,No,2630.0,160.0,12,0
133346,Female,34,1,25.0,0,1-2 Year,Yes,29666.0,122.0,85,0
374416,Female,22,1,26.0,1,< 1 Year,No,24675.0,152.0,292,0
102731,Male,44,1,19.0,0,1-2 Year,Yes,34162.0,26.0,115,1
364858,Female,54,1,41.0,0,1-2 Year,Yes,36977.0,13.0,196,0
62517,Female,47,1,28.0,0,1-2 Year,Yes,72883.0,26.0,115,0
360925,Male,48,1,11.0,0,1-2 Year,Yes,36860.0,26.0,261,0
5195,Male,23,1,15.0,1,< 1 Year,No,42769.0,152.0,269,0
351101,Female,35,1,29.0,1,1-2 Year,No,2630.0,152.0,124,0
183015,Male,42,1,36.0,0,1-2 Year,Yes,39595.0,124.0,293,1
31427,Female,27,1,45.0,1,< 1 Year,No,30893.0,152.0,163,0
280770,Female,23,1,32.0,1,< 1 Year,No,27031.0,160.0,102,0
56971,Female,28,1,8.0,1,< 1 Year,No,68430.0,152.0,223,0
207494,Male,28,1,14.0,1,1-2 Year,No,22428.0,124.0,173,0
163449,Male,46,1,32.0,0,1-2 Year,Yes,38397.0,124.0,254,1
227780,Male,46,1,20.0,1,1-2 Year,No,2630.0,26.0,24,0
258556,Female,22,1,6.0,1,< 1 Year,No,22699.0,152.0,208,0
24673,Female,58,1,8.0,0,1-2 Year,Yes,2630.0,157.0,86,1
283801,Female,49,1,41.0,1,1-2 Year,No,16519.0,124.0,250,0
27164,Male,23,1,39.0,1,< 1 Year,No,34150.0,152.0,218,0
201574,Female,48,1,28.0,0,> 2 Years,Yes,41880.0,26.0,209,0
143821,Male,23,1,21.0,1,< 1 Year,No,23328.0,152.0,50,0
364487,Female,28,1,41.0,0,< 1 Year,Yes,44875.0,152.0,65,0
154415,Female,26,1,28.0,0,< 1 Year,Yes,39833.0,124.0,207,1
172065,Male,24,1,14.0,1,< 1 Year,No,39819.0,152.0,85,0
210488,Male,46,1,15.0,1,1-2 Year,No,36729.0,26.0,139,0
18961,Male,24,1,30.0,0,< 1 Year,Yes,27888.0,152.0,169,0
238095,Male,23,1,32.0,1,< 1 Year,No,29213.0,26.0,282,0
56624,Male,25,1,8.0,1,< 1 Year,No,55523.0,152.0,265,0
236633,Female,43,1,11.0,0,1-2 Year,Yes,17429.0,26.0,292,0
322791,Male,24,1,7.0,1,< 1 Year,No,40347.0,152.0,124,0
267759,Male,77,1,8.0,0,1-2 Year,Yes,37596.0,26.0,289,1
89966,Male,63,1,21.0,0,1-2 Year,Yes,32784.0,124.0,78,0
70111,Female,22,1,46.0,0,< 1 Year,Yes,24560.0,152.0,64,0
39556,Male,38,1,38.0,1,1-2 Year,No,2630.0,124.0,130,0
171515,Male,22,1,36.0,1,1-2 Year,Yes,50547.0,124.0,96,0
235404,Male,21,1,44.0,1,< 1 Year,No,2630.0,160.0,163,0
209645,Female,47,1,32.0,0,1-2 Year,Yes,36781.0,124.0,272,0
181511,Female,21,1,46.0,0,< 1 Year,Yes,23325.0,160.0,52,0
193101,Female,37,1,41.0,0,1-2 Year,Yes,2630.0,156.0,223,1
233087,Male,44,1,47.0,0,1-2 Year,Yes,29992.0,124.0,210,1
9872,Male,22,1,36.0,0,< 1 Year,Yes,36153.0,160.0,136,0
355478,Female,30,1,28.0,1,< 1 Year,No,2630.0,152.0,267,0
193927,Female,23,1,50.0,1,< 1 Year,No,61359.0,152.0,115,0
355719,Male,50,1,28.0,0,1-2 Year,Yes,2630.0,26.0,133,0
94582,Male,24,1,46.0,1,< 1 Year,No,23653.0,152.0,28,0
190892,Female,23,1,18.0,1,< 1 Year,No,32435.0,152.0,28,0
88921,Male,22,1,3.0,0,< 1 Year,Yes,25994.0,152.0,146,1
245391,Female,57,1,28.0,0,1-2 Year,No,2630.0,156.0,118,1
272382,Female,35,1,30.0,0,1-2 Year,Yes,29186.0,152.0,99,1
365838,Female,52,1,8.0,1,1-2 Year,No,36330.0,25.0,136,0
169956,Male,45,1,28.0,1,1-2 Year,No,2630.0,125.0,49,0
14897,Male,54,1,28.0,0,> 2 Years,Yes,36153.0,122.0,255,0
146888,Male,60,1,6.0,0,1-2 Year,Yes,42251.0,26.0,36,0
80887,Male,64,1,28.0,1,1-2 Year,No,78771.0,26.0,179,0
283916,Female,40,1,35.0,0,1-2 Year,Yes,25924.0,124.0,86,0
92824,Male,26,1,41.0,1,< 1 Year,No,32349.0,152.0,153,0
105103,Female,50,1,47.0,0,1-2 Year,Yes,37984.0,26.0,39,1
102916,Female,27,1,28.0,0,< 1 Year,Yes,2630.0,157.0,39,0
215473,Male,46,1,15.0,0,1-2 Year,Yes,36527.0,14.0,288,1
39903,Male,22,1,43.0,0,< 1 Year,Yes,26222.0,151.0,140,0
117620,Male,26,1,41.0,1,< 1 Year,No,27729.0,152.0,276,0
76337,Female,21,1,33.0,1,< 1 Year,No,29266.0,152.0,171,0
131263,Female,76,1,24.0,0,1-2 Year,Yes,31262.0,124.0,29,0
370364,Male,22,1,22.0,1,< 1 Year,No,22789.0,152.0,248,0
335796,Male,37,1,14.0,0,1-2 Year,No,23305.0,122.0,163,0
272137,Male,33,1,15.0,1,< 1 Year,No,32941.0,152.0,183,0
285983,Male,26,1,29.0,0,< 1 Year,Yes,46864.0,160.0,44,0
334536,Male,26,1,8.0,1,< 1 Year,No,35947.0,151.0,107,0
244926,Male,48,1,28.0,1,1-2 Year,No,30117.0,120.0,133,0
98069,Male,22,1,46.0,1,< 1 Year,No,44293.0,152.0,135,0
30554,Female,23,1,29.0,1,< 1 Year,No,30977.0,152.0,34,0
278661,Female,21,1,6.0,1,< 1 Year,No,27038.0,152.0,278,0
151335,Female,78,1,18.0,1,1-2 Year,No,24530.0,26.0,175,0
89985,Male,31,1,36.0,1,< 1 Year,No,2630.0,152.0,243,0
209887,Female,24,1,15.0,0,< 1 Year,No,25919.0,152.0,187,0
200563,Male,44,1,28.0,0,1-2 Year,Yes,48742.0,122.0,116,0
133778,Male,21,1,41.0,1,< 1 Year,No,22305.0,160.0,80,0
226017,Male,21,1,36.0,0,< 1 Year,Yes,31648.0,152.0,264,0
330027,Male,48,1,28.0,0,1-2 Year,Yes,48654.0,163.0,247,1
262238,Female,28,1,9.0,0,< 1 Year,Yes,47879.0,152.0,91,0
222277,Female,21,1,8.0,0,< 1 Year,Yes,37827.0,152.0,283,0
315983,Female,24,1,11.0,1,< 1 Year,No,54302.0,152.0,188,0
91531,Female,55,1,18.0,0,> 2 Years,Yes,36453.0,26.0,271,0
191526,Female,22,1,20.0,0,< 1 Year,Yes,2630.0,152.0,59,0
326342,Female,78,1,28.0,0,1-2 Year,Yes,39160.0,24.0,130,0
60579,Female,37,1,10.0,1,1-2 Year,No,2630.0,152.0,149,0
338265,Female,31,1,31.0,1,< 1 Year,No,2630.0,151.0,258,0
104747,Female,27,1,39.0,0,< 1 Year,Yes,2630.0,26.0,94,0
362475,Male,54,1,28.0,1,1-2 Year,No,40123.0,124.0,100,0
69591,Male,67,1,43.0,1,1-2 Year,No,31532.0,26.0,198,0
212539,Female,26,1,8.0,0,< 1 Year,Yes,25702.0,152.0,259,0
172325,Male,33,1,28.0,0,< 1 Year,Yes,36654.0,152.0,299,0
69177,Male,42,1,0.0,0,1-2 Year,Yes,2630.0,26.0,218,0
236593,Male,24,1,35.0,1,< 1 Year,No,48504.0,152.0,164,0
38412,Male,42,1,45.0,0,1-2 Year,Yes,31224.0,26.0,12,0
14910,Female,28,1,28.0,0,1-2 Year,Yes,2630.0,157.0,269,1
217616,Female,60,1,12.0,1,1-2 Year,No,20623.0,21.0,254,0
258554,Male,22,1,2.0,1,< 1 Year,No,40758.0,152.0,43,0
116329,Female,21,1,46.0,1,< 1 Year,No,30232.0,152.0,136,0
254714,Female,26,1,13.0,1,< 1 Year,No,29899.0,152.0,248,0
190515,Male,42,1,28.0,0,1-2 Year,Yes,25700.0,124.0,67,0
206137,Male,44,1,15.0,1,1-2 Year,No,26062.0,124.0,284,0
109482,Male,58,1,33.0,0,1-2 Year,Yes,31860.0,124.0,103,0
250447,Male,69,1,39.0,0,1-2 Year,Yes,32501.0,124.0,283,1
23372,Male,38,1,37.0,0,> 2 Years,Yes,34134.0,124.0,214,0
45484,Female,26,1,28.0,1,< 1 Year,No,34378.0,152.0,173,0
57971,Male,62,1,8.0,0,1-2 Year,Yes,64558.0,124.0,91,0
29924,Female,24,1,18.0,1,< 1 Year,No,37802.0,152.0,262,0
248037,Female,38,1,15.0,0,1-2 Year,Yes,2630.0,160.0,14,0
167958,Male,45,1,37.0,0,1-2 Year,Yes,22253.0,124.0,66,0
78319,Female,48,1,35.0,0,1-2 Year,Yes,2630.0,157.0,53,0
213390,Female,25,1,28.0,0,< 1 Year,Yes,51695.0,152.0,282,0
4175,Male,21,1,12.0,1,< 1 Year,No,2630.0,152.0,156,0
145679,Male,42,1,8.0,0,1-2 Year,Yes,39958.0,124.0,219,0
105825,Female,44,1,47.0,0,1-2 Year,Yes,30456.0,25.0,192,1
143153,Male,41,1,28.0,0,1-2 Year,Yes,38786.0,124.0,132,1
273797,Male,30,1,8.0,1,< 1 Year,No,36805.0,152.0,64,0
70041,Female,57,1,3.0,1,1-2 Year,No,32498.0,152.0,133,0
328175,Female,48,1,24.0,0,1-2 Year,Yes,20155.0,124.0,78,0
238856,Female,22,1,41.0,1,< 1 Year,No,33623.0,152.0,141,0
101931,Female,25,1,30.0,1,< 1 Year,No,31427.0,152.0,217,0
265263,Male,48,1,28.0,0,> 2 Years,Yes,27726.0,124.0,259,0
91663,Female,25,1,21.0,1,< 1 Year,No,27519.0,152.0,43,0
328076,Male,24,1,15.0,0,< 1 Year,Yes,26752.0,152.0,224,0
232872,Male,78,1,31.0,1,1-2 Year,No,2630.0,148.0,242,0
129213,Female,22,1,30.0,1,< 1 Year,No,24610.0,152.0,71,0
218633,Female,60,1,8.0,0,1-2 Year,Yes,2630.0,26.0,116,0
97611,Female,40,1,41.0,0,1-2 Year,Yes,39709.0,12.0,138,1
211206,Male,30,1,28.0,1,1-2 Year,No,45434.0,124.0,185,0
5095,Male,49,1,15.0,0,1-2 Year,Yes,31015.0,152.0,116,0
92805,Male,21,1,30.0,0,< 1 Year,Yes,24505.0,152.0,245,1
100942,Male,22,1,10.0,1,< 1 Year,No,31364.0,152.0,39,0
31744,Female,62,1,28.0,0,1-2 Year,Yes,53444.0,124.0,177,0
303577,Female,44,1,46.0,0,1-2 Year,Yes,24448.0,155.0,242,1
138106,Male,52,1,8.0,1,1-2 Year,No,36421.0,124.0,226,0
274626,Female,41,1,28.0,1,1-2 Year,No,36654.0,124.0,98,0
332215,Male,31,1,28.0,0,1-2 Year,Yes,43370.0,122.0,93,1
140852,Male,21,1,33.0,1,< 1 Year,No,24442.0,152.0,107,0
47511,Female,51,1,48.0,1,1-2 Year,No,2630.0,26.0,250,0
346116,Male,25,1,16.0,0,1-2 Year,Yes,33939.0,154.0,89,1
317772,Male,37,1,35.0,0,1-2 Year,Yes,28136.0,124.0,163,0
159693,Male,20,1,16.0,0,< 1 Year,Yes,2630.0,156.0,180,1
22438,Male,29,1,46.0,1,< 1 Year,No,2630.0,157.0,268,0
84380,Male,33,1,8.0,1,< 1 Year,No,25523.0,152.0,11,0
278466,Male,47,1,28.0,0,1-2 Year,No,51181.0,124.0,46,0
58256,Male,46,1,28.0,0,1-2 Year,Yes,41968.0,124.0,143,0
221568,Female,22,1,30.0,1,< 1 Year,No,22839.0,152.0,191,0
139819,Female,42,1,50.0,1,1-2 Year,No,23874.0,26.0,249,0
253811,Female,56,1,28.0,1,1-2 Year,No,47928.0,152.0,109,0
323950,Female,24,1,28.0,1,< 1 Year,No,47914.0,152.0,75,0
292911,Male,36,1,30.0,1,1-2 Year,No,24091.0,152.0,15,0
284763,Female,24,1,11.0,1,< 1 Year,No,42903.0,152.0,153,0
266120,Male,36,1,27.0,0,1-2 Year,Yes,21199.0,152.0,14,0
108057,Male,51,1,48.0,1,1-2 Year,No,2630.0,96.0,181,0
271674,Male,43,1,28.0,0,1-2 Year,Yes,33614.0,26.0,232,0
285379,Female,21,1,3.0,0,< 1 Year,Yes,27767.0,152.0,280,0
115572,Female,21,1,46.0,1,< 1 Year,No,29343.0,160.0,208,0
9326,Female,40,1,15.0,1,1-2 Year,No,28512.0,124.0,243,0
94525,Female,22,1,36.0,1,< 1 Year,No,42018.0,152.0,163,0
4053,Female,24,1,8.0,1,< 1 Year,No,84142.0,26.0,49,0
171685,Female,67,1,28.0,0,> 2 Years,Yes,40940.0,26.0,57,0
139173,Female,49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,75,0
250535,Female,28,1,28.0,1,< 1 Year,No,28185.0,152.0,235,0
233688,Female,31,1,8.0,1,1-2 Year,No,26248.0,124.0,44,0
272609,Male,30,1,28.0,0,1-2 Year,Yes,27118.0,156.0,146,0
270519,Male,23,1,22.0,0,< 1 Year,Yes,37715.0,152.0,119,0
163120,Female,22,1,26.0,1,< 1 Year,No,2630.0,152.0,82,0
240046,Female,26,1,28.0,1,< 1 Year,No,59874.0,152.0,103,0
233070,Male,49,1,28.0,0,1-2 Year,Yes,41577.0,26.0,143,1
172958,Female,25,1,39.0,0,1-2 Year,Yes,2630.0,124.0,113,1
90314,Male,25,1,3.0,1,< 1 Year,No,24684.0,152.0,258,0
296491,Female,32,1,8.0,1,< 1 Year,No,44219.0,152.0,144,0
262549,Female,34,1,24.0,0,1-2 Year,Yes,25765.0,156.0,146,0
220932,Male,67,1,46.0,0,1-2 Year,Yes,22576.0,124.0,15,0
12886,Male,26,1,28.0,1,< 1 Year,No,2630.0,151.0,79,0
208779,Female,29,1,46.0,1,< 1 Year,No,2630.0,152.0,164,0
182244,Female,23,1,28.0,0,< 1 Year,Yes,55758.0,152.0,24,0
338571,Male,52,1,28.0,0,1-2 Year,Yes,29761.0,26.0,155,1
365543,Male,24,1,46.0,1,< 1 Year,No,29177.0,152.0,76,0
276970,Female,33,1,8.0,0,< 1 Year,Yes,44934.0,154.0,46,0
313490,Male,42,1,28.0,0,1-2 Year,Yes,29382.0,26.0,252,1
361364,Female,47,1,28.0,0,1-2 Year,Yes,37099.0,122.0,221,0
208176,Female,53,1,28.0,0,> 2 Years,Yes,2630.0,26.0,281,0
174385,Male,30,1,28.0,1,< 1 Year,No,42373.0,152.0,124,0
214661,Male,46,1,15.0,0,1-2 Year,Yes,43065.0,124.0,146,0
278036,Male,58,1,36.0,1,1-2 Year,No,33989.0,26.0,289,0
338151,Female,21,1,32.0,1,< 1 Year,Yes,28213.0,152.0,44,0
165458,Male,26,1,28.0,0,< 1 Year,Yes,36491.0,26.0,111,1
145365,Male,22,1,14.0,0,< 1 Year,Yes,29599.0,152.0,233,1
297746,Female,27,1,28.0,0,< 1 Year,Yes,47694.0,122.0,190,0
296067,Female,55,1,28.0,0,1-2 Year,Yes,67779.0,24.0,292,0
24072,Male,52,1,13.0,0,1-2 Year,Yes,31733.0,124.0,42,0
174389,Female,28,1,29.0,1,< 1 Year,Yes,2630.0,160.0,184,0
203639,Female,32,1,33.0,0,< 1 Year,Yes,24126.0,26.0,244,1
188183,Male,37,1,46.0,1,1-2 Year,No,2630.0,124.0,71,0
365863,Female,24,1,29.0,1,< 1 Year,No,2630.0,152.0,149,0
290070,Female,26,1,33.0,0,1-2 Year,Yes,28600.0,157.0,297,1
308722,Female,41,1,41.0,0,1-2 Year,Yes,44647.0,124.0,211,0
130605,Male,73,1,14.0,1,1-2 Year,No,35167.0,26.0,270,0
12669,Male,22,1,2.0,1,< 1 Year,No,27987.0,152.0,269,0
349728,Female,23,1,35.0,1,< 1 Year,Yes,24348.0,152.0,73,0
220821,Female,67,1,33.0,1,1-2 Year,No,39018.0,124.0,279,0
364884,Female,80,1,28.0,0,1-2 Year,Yes,24152.0,55.0,134,0
252018,Male,42,1,28.0,0,1-2 Year,Yes,36879.0,122.0,136,1
209891,Female,52,1,8.0,0,1-2 Year,Yes,40960.0,163.0,89,0
132697,Female,31,1,13.0,1,< 1 Year,No,2630.0,152.0,230,0
349117,Male,39,1,0.0,0,> 2 Years,Yes,2630.0,26.0,136,0
208149,Female,68,1,45.0,1,1-2 Year,No,27450.0,124.0,162,0
121218,Female,27,1,41.0,1,< 1 Year,No,29479.0,153.0,57,0
302855,Male,22,1,8.0,1,< 1 Year,No,31766.0,152.0,73,0
368440,Female,24,1,30.0,1,< 1 Year,No,28564.0,152.0,139,0
69610,Female,24,1,18.0,1,< 1 Year,No,24554.0,152.0,161,0
83578,Male,25,1,28.0,0,< 1 Year,Yes,25503.0,152.0,155,0
148468,Female,25,1,18.0,0,< 1 Year,Yes,36908.0,152.0,270,0
206919,Female,24,1,5.0,1,< 1 Year,Yes,35736.0,152.0,30,0
237082,Female,23,1,29.0,1,< 1 Year,No,29105.0,152.0,58,0
141776,Female,70,1,15.0,1,1-2 Year,No,39870.0,14.0,282,0
139249,Female,25,1,1.0,1,< 1 Year,No,2630.0,160.0,19,0
348168,Female,46,1,28.0,1,1-2 Year,No,38099.0,26.0,173,0
57150,Male,22,1,46.0,1,< 1 Year,No,23375.0,152.0,167,0
298787,Male,59,1,28.0,1,1-2 Year,No,53785.0,26.0,264,0
26901,Female,73,1,41.0,1,1-2 Year,No,34125.0,136.0,142,0
302078,Male,25,1,8.0,1,< 1 Year,No,33477.0,151.0,104,0
376427,Male,23,1,41.0,1,< 1 Year,No,27355.0,152.0,16,0
179387,Female,53,1,18.0,0,1-2 Year,Yes,28734.0,26.0,279,0
169269,Male,22,1,3.0,1,< 1 Year,No,37711.0,152.0,207,0
381011,Female,60,1,38.0,1,< 1 Year,Yes,2630.0,1.0,46,0
147591,Male,27,1,30.0,0,< 1 Year,Yes,2630.0,163.0,84,0
372871,Female,59,1,28.0,0,1-2 Year,Yes,28481.0,122.0,259,0
142914,Male,31,1,4.0,0,1-2 Year,Yes,2630.0,124.0,207,1
18173,Female,21,1,8.0,1,< 1 Year,No,42934.0,160.0,294,0
315857,Female,24,1,50.0,1,< 1 Year,No,43635.0,152.0,161,0
63966,Male,46,1,3.0,1,1-2 Year,No,22056.0,26.0,236,0
869,Female,42,1,3.0,0,1-2 Year,Yes,43811.0,154.0,243,0
332498,Male,69,1,28.0,0,1-2 Year,Yes,41506.0,122.0,43,0
39147,Female,21,1,28.0,0,< 1 Year,Yes,34714.0,160.0,64,0
234792,Female,45,1,28.0,1,1-2 Year,No,39211.0,26.0,285,0
55990,Male,22,1,8.0,1,< 1 Year,No,27260.0,160.0,74,0
136918,Male,66,1,28.0,0,1-2 Year,Yes,43148.0,26.0,296,0
320156,Female,34,1,21.0,0,1-2 Year,Yes,26514.0,154.0,110,0
312271,Male,23,1,8.0,1,< 1 Year,No,46762.0,152.0,109,0
122964,Female,50,1,28.0,0,1-2 Year,Yes,27791.0,122.0,99,0
233689,Male,37,1,33.0,0,1-2 Year,Yes,2630.0,157.0,289,0
135968,Male,27,1,28.0,1,< 1 Year,No,35727.0,152.0,190,0
286985,Male,42,1,28.0,0,1-2 Year,Yes,33739.0,163.0,193,0
98970,Female,47,1,28.0,0,1-2 Year,Yes,38198.0,124.0,74,0
234906,Male,42,1,28.0,0,1-2 Year,Yes,25405.0,156.0,215,0
162261,Female,45,1,46.0,0,1-2 Year,Yes,32123.0,11.0,273,1
123836,Female,67,1,28.0,0,1-2 Year,Yes,41694.0,26.0,270,1
370608,Female,21,1,37.0,0,< 1 Year,No,28844.0,152.0,106,0
166352,Male,22,1,15.0,0,< 1 Year,No,29583.0,152.0,111,0
216077,Female,37,1,28.0,0,1-2 Year,Yes,45245.0,124.0,47,0
180421,Female,27,1,26.0,1,< 1 Year,No,33663.0,152.0,273,0
113433,Male,58,1,21.0,1,1-2 Year,No,36267.0,124.0,126,0
110935,Male,23,1,46.0,1,< 1 Year,No,34734.0,152.0,58,0
43916,Female,23,1,17.0,0,< 1 Year,No,42920.0,26.0,133,0
70129,Female,49,1,28.0,0,1-2 Year,Yes,55116.0,26.0,245,0
105285,Male,53,1,8.0,0,1-2 Year,Yes,2630.0,124.0,291,0
197912,Female,50,1,28.0,0,> 2 Years,Yes,27365.0,26.0,94,0
164625,Female,22,1,28.0,1,< 1 Year,No,50271.0,152.0,298,0
162791,Male,54,1,41.0,0,1-2 Year,Yes,37769.0,124.0,145,0
51415,Female,20,1,4.0,0,< 1 Year,Yes,2630.0,160.0,291,0
207968,Male,25,1,50.0,1,< 1 Year,No,62394.0,152.0,147,0
279565,Male,51,1,28.0,0,1-2 Year,Yes,52652.0,26.0,39,1
197898,Male,71,1,47.0,0,1-2 Year,Yes,38913.0,124.0,131,0
288372,Female,45,1,28.0,0,> 2 Years,Yes,51070.0,26.0,286,1
280068,Female,26,1,8.0,0,< 1 Year,Yes,42609.0,152.0,111,0
86194,Female,41,1,35.0,1,1-2 Year,No,22999.0,26.0,118,0
154057,Female,35,1,28.0,0,1-2 Year,Yes,2630.0,156.0,58,1
145003,Female,41,1,49.0,0,1-2 Year,Yes,30965.0,124.0,173,0
159017,Female,65,1,28.0,0,1-2 Year,Yes,54157.0,122.0,25,0
118661,Female,42,1,28.0,1,1-2 Year,No,65399.0,124.0,241,0
279266,Male,44,1,28.0,1,1-2 Year,No,51272.0,26.0,216,0
1591,Male,31,1,23.0,0,< 1 Year,Yes,26262.0,152.0,92,1
235418,Male,53,1,46.0,1,1-2 Year,No,41793.0,11.0,73,0
351026,Female,28,1,46.0,1,< 1 Year,No,25792.0,152.0,97,0
38788,Male,38,1,50.0,1,1-2 Year,No,19849.0,65.0,280,0
73935,Male,43,1,28.0,0,1-2 Year,Yes,36807.0,26.0,154,0
106355,Female,22,1,15.0,0,< 1 Year,No,34867.0,152.0,282,0
194927,Female,24,1,3.0,1,< 1 Year,No,36633.0,152.0,120,0
236450,Male,28,1,10.0,1,< 1 Year,No,2630.0,152.0,67,0
234355,Male,68,1,28.0,1,1-2 Year,No,2630.0,26.0,184,0
54113,Female,51,1,28.0,0,1-2 Year,Yes,32108.0,26.0,68,0
243959,Male,35,1,27.0,0,1-2 Year,Yes,25749.0,151.0,158,1
319038,Female,80,1,7.0,0,1-2 Year,Yes,79592.0,124.0,31,0
47563,Female,24,1,13.0,1,< 1 Year,No,16010.0,26.0,256,0
111810,Male,22,1,49.0,0,< 1 Year,Yes,33572.0,152.0,29,0
309214,Male,52,1,4.0,1,1-2 Year,No,39298.0,124.0,25,0
257788,Female,57,1,28.0,0,> 2 Years,Yes,43418.0,26.0,85,1
185504,Female,55,1,8.0,1,1-2 Year,No,57818.0,26.0,287,0
325710,Male,39,1,7.0,0,1-2 Year,Yes,2630.0,156.0,166,0
344696,Female,26,1,18.0,1,< 1 Year,No,35714.0,152.0,233,0
301829,Male,46,1,28.0,0,1-2 Year,Yes,44321.0,26.0,218,0
35609,Female,23,1,12.0,1,< 1 Year,No,25667.0,152.0,275,0
281868,Male,65,1,39.0,0,1-2 Year,Yes,26388.0,26.0,252,0
189455,Female,23,1,30.0,1,< 1 Year,No,28635.0,152.0,154,0
27064,Female,23,1,35.0,1,< 1 Year,No,25451.0,152.0,241,0
305518,Female,37,1,28.0,0,1-2 Year,Yes,2630.0,163.0,145,1
119331,Male,40,1,28.0,0,> 2 Years,Yes,45714.0,26.0,150,0
364393,Male,53,1,21.0,1,1-2 Year,Yes,32372.0,26.0,271,0
130948,Male,29,1,28.0,0,< 1 Year,Yes,39523.0,152.0,223,1
302219,Male,53,1,39.0,0,1-2 Year,Yes,45902.0,124.0,133,0
251285,Male,61,1,11.0,0,1-2 Year,Yes,2630.0,124.0,101,0
189725,Female,73,1,3.0,1,1-2 Year,No,35927.0,26.0,118,0
310540,Male,58,1,14.0,0,> 2 Years,Yes,2630.0,156.0,39,1
21530,Female,27,1,36.0,0,< 1 Year,No,2630.0,152.0,129,0
127644,Female,52,1,46.0,0,1-2 Year,Yes,2630.0,157.0,234,0
267496,Male,53,1,28.0,1,1-2 Year,No,26649.0,26.0,21,0
316881,Female,69,1,28.0,0,1-2 Year,Yes,26228.0,24.0,104,0
182819,Male,63,1,28.0,0,1-2 Year,Yes,25504.0,124.0,33,0
